Date,^GSPC,^STOXX
2005-06-22,1213.8800048828125,277.4200134277344
2005-06-23,1200.72998046875,278.5899963378906
2005-06-24,1191.5699462890625,276.32000732421875
2005-06-27,1190.68994140625,273.6400146484375
2005-06-28,1201.5699462890625,275.9700012207031
2005-06-29,1199.8499755859375,276.7900085449219
2005-06-30,1191.3299560546875,275.9200134277344
2005-07-01,1194.43994140625,278.07000732421875
2005-07-04,,278.760009765625
2005-07-05,1204.989990234375,278.1400146484375
2005-07-06,1194.93994140625,279.7799987792969
2005-07-07,1197.8699951171875,274.69000244140625
2005-07-08,1211.8599853515625,278.4700012207031
2005-07-11,1219.43994140625,279.92999267578125
2005-07-12,1222.2099609375,278.8599853515625
2005-07-13,1223.2900390625,280.4599914550781
2005-07-14,1226.5,281.739990234375
2005-07-15,1227.9200439453125,281.2300109863281
